CAT1,CAT2,DA1,DA2,DA3,FAT,LAB1,LAB2,LAB3,LAB4,LAB5,LAB6,LFAT
29,22,9,8,7,62,9,7,7,8,10,8,35
28,23,7,7,10,70,9,8,9,7,8,7,33
23,28,10,8,9,59,9,7,7,10,7,8,36
23,26,7,7,10,60,8,7,9,8,8,8,37
27,23,8,7,7,68,10,10,9,10,9,8,37
24,22,9,8,8,60,8,8,8,10,10,10,37
29,25,8,8,9,73,8,9,10,10,10,10,33
25,22,8,10,8,61,10,9,10,9,10,10,33
30,28,7,10,8,67,7,10,8,8,9,9,34
25,27,7,9,9,72,8,10,8,8,9,10,37
21,30,9,10,10,78,9,7,7,7,8,7,37
27,27,10,7,9,77,7,10,8,7,9,7,35
27,28,9,7,7,65,8,9,9,8,9,10,35
29,29,8,10,9,57,8,10,7,8,7,10,37
29,24,10,10,9,63,7,8,7,9,9,10,35
22,30,10,8,7,71,8,10,7,8,8,9,33
21,25,7,8,9,75,8,10,10,7,9,8,33
21,25,9,9,10,64,8,10,9,10,10,7,33
26,30,7,10,8,68,8,7,8,7,10,10,34
21,30,8,10,10,79,8,10,9,9,7,7,34
27,26,10,7,7,74,7,8,10,7,9,10,33
29,28,9,10,8,62,7,10,10,8,8,7,33
30,28,10,9,7,72,8,7,9,10,9,10,37
30,27,7,10,10,65,8,7,9,9,9,9,34
28,25,8,8,10,63,10,9,9,8,8,10,36
25,25,9,9,8,65,8,9,8,8,9,9,37
26,25,7,8,7,79,9,9,7,8,9,8,35
27,23,8,8,7,69,7,7,8,8,8,7,34
25,25,9,8,7,72,7,7,7,9,7,7,33
27,30,8,9,10,58,8,8,10,9,9,8,35
25,29,9,8,10,61,8,9,7,7,10,9,36
30,22,8,8,8,70,7,10,7,9,8,9,35
26,28,8,9,8,64,10,10,10,9,9,8,33
22,21,10,10,9,72,7,8,9,10,10,7,35
25,23,10,8,8,77,7,9,10,8,10,10,35
24,23,10,9,10,70,8,8,10,7,7,10,34
24,28,8,9,10,59,8,10,7,7,7,7,37
25,23,10,10,7,64,9,10,8,9,8,10,37
22,23,10,9,7,59,8,9,10,8,10,8,34
22,23,7,7,10,77,9,10,7,8,7,10,34
28,25,9,9,7,79,7,8,8,9,8,8,35
26,24,10,8,7,72,10,8,10,8,8,7,35
23,29,10,7,8,66,9,8,7,10,9,8,35
28,27,7,10,8,77,9,9,7,9,7,8,36
21,22,9,9,7,76,10,9,9,10,8,8,36
28,22,10,7,8,67,9,7,10,9,8,9,33
29,24,10,7,8,56,8,8,9,7,7,7,36
30,21,9,9,8,78,10,10,10,10,8,8,33
27,24,7,10,7,59,9,10,9,7,8,7,34
22,29,10,7,7,56,9,10,9,7,7,10,36
21,28,8,9,9,75,9,8,8,8,8,8,34
23,21,7,10,10,62,8,8,7,10,8,10,34
30,25,10,7,8,57,9,10,9,7,7,7,36
29,21,9,7,9,68,9,10,9,10,9,10,37
24,25,8,10,10,59,7,9,9,10,9,7,34
21,25,8,10,9,60,9,9,10,8,9,9,34
24,22,8,10,7,57,7,10,8,10,10,8,35
27,29,9,7,8,72,9,9,7,8,9,10,37
22,25,8,9,8,66,8,9,10,8,7,10,35
22,24,8,10,9,73,7,10,10,9,7,10,34
22,25,9,9,8,63,8,7,8,8,9,7,33
26,28,8,10,8,67,7,7,8,10,7,8,34
21,28,7,9,7,68,7,7,10,10,8,8,33
25,21,8,10,9,77,10,7,9,7,7,7,35
23,21,10,9,7,68,9,9,8,8,10,10,35
23,25,10,7,8,62,8,10,10,9,10,10,35
23,21,9,9,10,59,9,10,10,9,8,9,36
25,21,9,7,7,71,10,9,9,7,7,9,35
29,28,7,8,10,78,7,7,7,10,7,8,37
25,21,9,9,7,74,10,7,9,9,7,7,33
23,28,7,9,8,72,7,10,10,8,8,10,35
28,25,10,7,9,72,7,7,8,8,7,8,35
23,28,9,10,8,60,9,10,9,8,8,7,35
28,26,10,9,10,57,9,8,8,8,8,8,34
23,25,10,7,7,62,9,9,8,9,10,8,37
29,29,9,7,8,67,8,8,9,9,7,10,37
27,21,7,10,10,74,10,9,7,10,7,10,37
30,23,8,10,8,64,9,10,9,8,9,7,36
27,25,7,10,8,58,10,7,8,7,7,7,34
26,26,10,9,7,62,7,9,9,9,8,8,37
27,29,7,8,8,77,10,10,10,10,7,9,36
27,24,8,10,8,56,9,8,7,7,7,10,33
30,30,8,9,10,73,10,7,9,10,10,9,35
22,22,7,10,9,56,7,9,8,9,9,8,33
26,23,10,9,9,62,8,8,8,9,9,7,36
24,28,9,10,7,68,7,7,9,10,7,10,33
25,25,7,7,8,61,7,10,9,10,7,8,35
22,23,7,8,10,77,7,9,9,9,7,10,34
23,29,8,10,7,73,10,8,8,8,10,10,34
27,27,8,8,10,57,9,9,7,7,8,8,37
28,28,9,8,7,67,10,10,7,7,7,9,36
26,22,7,8,10,75,7,9,10,10,9,8,35
30,28,7,9,9,67,8,10,8,8,7,10,37
25,30,7,7,9,66,10,9,7,10,7,9,36
24,24,9,7,9,56,7,8,7,10,9,10,34
22,25,9,10,7,65,7,7,8,10,7,10,37
24,28,8,9,7,75,8,9,7,8,9,8,34
28,27,7,7,7,65,10,9,9,7,8,8,34
22,22,10,10,9,75,9,10,9,10,8,9,33
25,26,7,10,10,63,7,9,10,7,7,9,36
21,29,7,7,9,79,7,7,7,9,9,7,35
26,22,7,7,9,64,8,8,10,7,9,8,36
30,24,7,7,10,58,8,9,10,7,9,9,33
28,26,10,8,7,68,8,8,8,10,8,10,37
26,30,7,10,8,75,10,7,10,10,7,10,36
22,27,8,10,9,65,7,8,7,9,8,10,36
28,22,10,10,7,74,8,9,10,7,7,8,34
25,25,10,10,9,77,10,8,9,7,10,8,35
25,29,9,10,8,62,7,9,8,9,9,8,37
28,25,8,10,10,69,10,7,9,7,7,7,37
22,23,10,8,10,64,9,7,9,8,7,8,34
28,26,10,7,8,58,9,8,10,9,10,7,35
23,22,10,7,10,75,8,9,8,8,9,8,33
30,21,8,8,7,57,8,9,9,7,8,10,34
26,28,8,8,7,56,9,7,10,7,7,8,36
28,24,9,7,8,59,9,7,7,7,9,8,36
23,22,8,9,8,69,10,7,7,10,9,7,33
29,22,7,8,10,57,9,10,9,8,10,9,37
25,24,9,7,8,75,10,10,8,9,7,10,36
23,29,10,8,8,62,9,10,10,10,10,8,34
28,24,10,7,10,70,8,10,8,8,10,9,35
30,30,8,10,7,64,8,7,9,10,7,8,36
26,25,8,8,10,58,8,8,10,9,9,7,37
25,22,10,7,10,64,10,7,10,8,7,7,35
24,23,8,7,10,61,7,8,9,7,7,8,35
23,21,10,10,7,68,8,7,10,9,7,9,35
30,29,10,8,9,60,9,10,7,8,8,10,37
23,30,9,7,9,75,10,10,9,8,9,7,36
26,23,10,9,9,75,10,8,8,7,9,9,37
22,21,7,7,7,67,7,7,9,7,8,7,36
26,27,8,8,8,64,9,9,10,10,10,8,35
29,29,9,8,9,71,10,9,8,9,10,7,36
27,21,7,10,8,60,9,7,9,7,10,7,34
30,29,9,9,8,77,9,8,7,8,10,7,35
24,27,10,10,8,70,7,8,8,9,8,9,35
28,29,10,8,9,77,10,10,10,7,10,8,35
30,30,9,8,7,78,9,10,7,10,10,8,36
29,28,8,8,8,64,7,9,7,9,9,10,34
25,28,7,9,8,71,8,7,10,8,8,10,33
29,21,9,9,8,58,8,7,8,7,9,7,37
26,27,8,10,7,73,8,9,9,9,7,9,33
27,27,8,7,10,59,10,9,7,7,9,9,36
28,23,9,9,10,69,7,10,8,9,8,8,37
28,24,10,10,7,79,10,10,10,7,9,8,37
26,21,8,9,9,58,10,7,7,8,10,8,36
29,22,9,8,8,75,7,7,10,8,8,8,35
27,28,8,7,10,74,8,9,8,8,9,10,35
22,28,8,10,9,70,10,7,7,7,9,7,35
26,26,9,7,10,75,9,7,9,7,9,8,36
27,27,10,10,8,62,9,10,10,10,10,8,34
28,28,8,9,9,68,8,8,7,10,7,7,35
29,24,10,7,10,75,7,9,8,10,7,10,35
22,28,9,7,7,79,8,7,7,7,9,9,37
28,28,10,8,9,79,8,8,10,10,10,8,37
22,27,10,9,10,72,7,10,7,9,9,10,35
29,27,8,7,8,67,10,7,9,9,7,8,36
23,21,9,8,10,77,8,9,10,7,7,9,33
30,26,9,9,10,72,10,10,7,8,10,9,35
28,27,9,9,10,56,8,8,10,7,9,9,33
29,29,7,8,8,75,9,9,7,9,7,7,35
27,23,9,10,8,56,7,9,7,7,10,10,34
30,27,7,8,10,79,10,8,10,10,8,10,37
29,25,7,8,8,58,8,8,7,7,8,7,34
23,24,7,9,8,66,9,7,7,10,8,8,36
25,29,7,8,9,78,9,10,8,8,10,7,36
27,22,7,9,7,63,7,10,7,8,10,7,37
29,29,7,8,10,59,7,10,10,7,10,9,33
28,28,10,7,10,75,9,7,10,7,10,7,34
21,27,9,10,8,76,9,10,9,9,8,10,35
25,28,10,7,10,73,7,9,8,7,10,9,36
28,26,8,7,10,59,8,9,10,8,8,9,37
30,27,7,8,7,72,9,9,8,9,7,8,36
24,21,7,10,8,70,10,10,7,9,10,10,37
22,28,7,8,10,61,8,10,9,7,10,8,37
22,22,9,9,8,59,8,7,7,8,7,10,37
26,27,10,9,10,75,7,8,9,9,8,10,37
29,24,7,8,9,72,7,8,8,7,9,8,34
28,23,10,7,9,57,8,8,10,9,10,7,35
28,30,7,10,7,67,7,9,7,10,7,8,35
29,22,8,7,8,71,7,10,8,10,7,7,37
25,30,10,9,7,77,10,8,10,8,8,7,34
21,30,9,9,8,58,8,7,9,10,9,9,35
28,25,7,9,9,57,9,9,7,9,9,8,35
27,24,9,7,7,57,7,8,7,7,7,8,36
21,25,9,9,8,71,9,7,7,10,9,7,34
29,26,9,7,10,68,8,7,9,8,9,9,34
27,25,9,8,7,73,8,7,10,7,8,9,33
23,25,7,8,8,60,10,7,9,9,8,9,37
27,29,8,8,10,68,10,9,7,7,9,9,33
27,25,8,7,7,70,10,7,9,7,8,10,34
24,28,9,8,8,67,9,8,7,8,8,9,36
25,24,7,10,8,59,8,7,9,7,10,7,34
22,28,9,8,9,59,10,10,7,8,10,9,33
25,27,7,7,9,78,7,8,7,10,7,10,35
26,30,10,7,7,76,10,8,7,7,10,10,35
30,30,7,7,8,61,10,9,8,10,9,8,36
28,30,8,7,9,58,10,8,10,7,10,7,33
22,21,10,7,8,71,7,9,8,9,9,7,33
28,22,10,10,8,67,8,7,8,7,10,7,35
21,23,8,10,10,63,7,10,7,9,7,9,34
26,24,8,9,10,70,9,9,10,10,9,9,35
21,29,8,10,8,59,9,10,9,10,10,8,33
29,30,8,7,7,65,9,10,8,10,7,7,37
28,26,7,8,10,70,9,7,7,10,9,8,33
30,25,10,7,8,58,7,9,7,10,8,7,34
30,30,8,7,8,66,8,9,10,7,9,8,35
25,21,8,8,9,59,9,9,8,10,8,7,33
30,27,9,9,10,60,7,8,8,8,8,9,37
27,26,9,8,8,69,7,10,10,7,7,9,35
30,25,8,7,9,77,9,9,7,10,9,9,36
23,22,7,7,9,56,7,9,9,8,7,7,36
26,24,9,8,8,70,8,8,9,10,7,8,37
28,29,9,7,10,66,9,10,9,7,7,8,36
30,29,10,8,9,57,7,7,7,7,7,9,35
26,22,8,8,7,69,9,10,7,10,8,9,33
28,30,8,7,10,71,8,10,8,10,7,7,36
24,21,7,10,9,58,10,9,9,7,7,10,33
28,23,9,10,9,61,9,8,8,9,9,7,37
27,23,10,10,8,77,8,7,8,9,8,8,36
24,24,9,8,10,59,9,8,8,9,8,9,35
29,26,10,9,7,58,9,8,9,9,10,10,35
26,26,8,10,9,59,10,8,9,8,10,9,37
26,24,8,10,8,70,10,9,8,8,9,7,36
26,24,10,8,9,69,9,8,9,8,8,8,35
27,24,9,9,7,65,9,9,7,8,8,10,34
30,28,10,9,10,75,8,10,9,7,8,10,35
28,29,8,10,8,69,10,9,8,10,8,8,36
22,27,9,10,7,75,9,10,9,7,10,7,34
25,24,8,8,8,58,9,8,8,7,7,8,33
24,27,10,7,7,75,7,9,8,9,9,10,34
26,28,7,9,10,60,9,7,10,9,7,10,35
29,23,8,10,7,65,7,9,9,8,9,7,36
21,29,7,8,7,59,8,10,7,10,8,10,37
21,30,7,7,8,60,7,9,9,7,8,10,33
22,28,9,7,8,67,8,8,9,10,9,10,33
27,30,10,10,10,64,7,10,8,10,9,8,33
29,29,10,7,7,56,8,10,7,8,8,7,35
21,27,8,7,7,76,10,7,9,7,9,9,37
23,30,7,10,8,77,10,7,9,8,7,10,37
22,22,8,10,7,62,9,10,9,7,10,9,35
24,29,8,8,10,58,7,8,9,8,7,9,34
25,27,10,10,7,62,10,8,8,10,10,7,37
24,25,8,10,7,79,7,7,8,8,10,9,33
29,26,10,10,8,64,7,7,9,7,8,8,35
30,27,9,7,10,68,9,10,8,7,7,9,34
24,28,8,9,10,69,8,10,8,8,8,10,37
29,23,10,7,9,63,9,10,10,10,9,10,35
26,24,9,9,8,69,10,7,9,9,7,8,37
26,27,8,9,9,65,8,7,9,10,10,7,37
30,30,8,8,8,72,9,7,7,7,10,9,33
29,26,8,7,9,59,10,10,7,10,8,8,33
22,21,7,9,8,69,9,10,8,8,7,8,36
24,21,10,7,9,61,9,8,9,7,10,8,33
25,28,7,9,10,66,9,9,8,7,10,10,33
27,25,7,7,9,66,8,10,9,8,8,7,34
25,26,8,8,9,63,8,8,8,8,7,10,33
28,24,8,9,7,62,10,9,10,10,7,9,34
28,29,10,7,7,56,7,9,10,9,8,9,36
29,22,8,9,10,59,7,9,9,9,8,10,34
23,29,9,7,10,76,9,7,7,10,10,9,35
23,29,7,7,7,66,9,9,8,10,9,8,37
29,25,8,8,9,56,10,9,10,9,9,8,35
30,30,8,8,10,73,9,10,10,8,9,9,37
28,23,7,8,7,63,9,7,9,7,10,8,33
24,29,7,9,10,71,8,10,7,9,9,7,34
28,28,10,9,8,59,10,10,10,8,8,10,36
28,21,7,10,9,56,7,7,9,7,9,9,35
21,28,10,9,10,70,7,7,10,9,9,10,34
30,28,10,10,10,77,9,9,10,8,7,9,33
25,28,10,8,9,58,10,10,10,10,10,10,37
29,23,9,10,9,65,8,7,8,8,7,10,35
28,30,9,7,10,78,8,10,9,9,8,9,34
24,29,8,10,10,63,7,8,9,10,10,10,35
23,28,8,7,9,62,10,9,9,9,8,9,36
29,21,8,9,10,79,9,8,8,9,10,8,37
29,22,7,10,10,59,10,8,9,7,7,8,33
27,30,7,10,7,75,8,8,10,8,7,9,33
23,23,7,7,10,56,8,10,10,7,9,7,34
28,27,10,8,9,65,10,9,7,10,10,7,33
26,25,9,10,9,56,10,9,7,10,9,8,37
30,26,7,7,7,78,7,9,10,9,8,9,36
22,29,9,8,8,56,8,7,9,10,10,9,33
30,29,8,9,7,79,9,7,10,7,7,8,37
25,23,7,7,9,79,9,7,9,9,7,10,34
24,29,10,7,10,73,9,9,9,8,9,9,37
21,27,7,10,8,59,8,7,8,10,8,8,36
30,30,8,9,8,57,10,7,8,10,10,7,35
29,26,7,10,8,56,7,7,10,7,8,9,35
26,27,7,9,9,64,8,8,9,7,10,10,34
25,28,10,8,7,62,10,7,8,10,8,9,34
23,26,10,8,10,71,10,9,10,10,9,8,35
28,29,10,8,9,58,7,10,10,10,7,8,33
27,23,9,9,10,63,7,10,8,9,8,7,36
27,25,8,8,7,74,10,8,7,7,9,8,37
28,29,10,8,9,61,7,7,8,10,10,7,36
27,21,7,8,8,73,9,9,7,8,7,9,37
24,30,7,8,7,59,7,10,10,8,7,7,34
28,21,7,9,9,66,9,10,10,8,8,8,34
28,24,8,7,9,73,10,10,10,10,8,7,35
21,27,9,8,8,62,8,9,8,9,10,7,35
22,24,9,7,10,79,9,8,8,10,9,7,33
30,24,9,10,7,61,8,7,8,8,8,9,36
25,22,7,9,7,65,8,9,8,9,8,10,34
24,28,8,10,10,74,7,7,9,10,8,8,33
27,21,10,8,7,64,8,9,10,9,9,8,36
29,21,7,10,10,77,7,8,8,10,10,7,35
29,21,8,10,7,67,10,10,8,9,9,7,34
22,26,7,8,10,59,10,9,8,7,8,10,37
23,24,7,8,8,74,9,10,8,7,7,8,34
24,22,10,8,10,59,8,9,10,9,7,9,35
26,29,10,9,7,66,7,8,10,8,7,10,35
29,26,8,8,9,77,7,9,9,8,7,9,34
25,27,7,8,10,62,9,10,10,10,9,8,35
30,26,10,8,9,68,7,8,10,8,8,7,36
28,24,10,8,8,72,7,8,10,9,9,10,33
30,28,10,9,9,62,10,10,10,10,7,10,35
22,21,9,9,9,66,8,10,10,10,10,7,35
29,28,8,10,9,57,7,10,10,9,7,7,35
27,24,8,7,8,66,8,7,7,7,8,7,34
26,29,10,10,10,67,7,10,8,7,9,10,33
27,25,10,9,10,62,8,9,8,8,10,8,33
24,30,9,9,10,56,10,8,10,10,10,9,34
21,25,7,8,9,61,7,7,8,7,10,9,34
25,23,10,9,9,58,7,7,9,10,10,7,33
22,24,7,7,7,72,8,7,8,8,10,9,33
22,23,8,10,10,58,9,9,7,10,7,10,37
24,27,10,9,8,64,8,7,10,9,9,9,36
21,30,7,7,8,75,7,8,8,10,9,9,34
23,22,10,10,9,61,9,9,10,8,9,8,37
30,29,10,7,9,72,7,7,9,7,8,7,33
24,27,8,10,9,75,7,9,7,9,7,10,37
23,25,8,7,9,77,9,8,7,10,9,10,33
30,25,10,8,10,68,7,7,8,9,8,10,36
22,26,9,7,7,63,8,10,10,8,9,8,34
27,27,7,10,7,61,9,8,9,9,7,9,35
23,29,10,8,8,70,7,8,8,9,9,7,34
27,28,7,8,7,57,10,10,7,7,10,8,34
25,29,8,7,7,65,9,8,10,9,9,9,37
28,26,7,8,7,58,7,7,9,7,10,8,36
24,29,7,10,7,56,8,8,7,7,9,10,34
25,22,7,10,7,78,7,7,10,8,7,7,34
28,29,8,9,7,76,10,9,9,7,9,10,34
29,23,9,8,10,58,9,8,8,7,7,7,33
23,23,9,9,7,59,10,10,7,7,7,9,37
21,21,10,8,8,74,9,9,9,7,9,9,37
21,29,9,8,10,56,8,10,7,7,7,9,36
28,29,10,8,9,59,10,8,8,8,8,10,33
25,28,10,10,8,69,9,10,8,9,9,8,37
21,22,7,10,9,58,7,8,8,7,10,9,34
27,23,7,10,10,60,9,8,9,10,9,10,35
24,28,7,10,9,63,9,7,9,7,10,8,34
26,24,9,9,7,58,9,8,10,7,8,9,36
21,21,7,10,8,78,9,9,9,10,7,7,34
26,25,8,7,10,72,8,10,9,7,10,10,33
27,22,10,8,7,65,7,8,7,9,8,7,37
22,29,7,8,8,74,8,10,7,8,10,7,37
21,27,10,9,8,56,9,9,9,8,7,8,37
23,25,10,7,7,68,7,10,9,8,10,8,35
25,22,8,9,7,59,10,9,7,9,7,9,33
28,26,9,10,9,59,7,10,9,9,8,7,33
29,29,8,10,10,78,9,9,9,10,7,10,33
23,30,10,10,10,77,8,10,9,9,7,10,37
21,28,9,7,8,59,9,9,7,10,10,10,37
21,30,7,7,9,65,10,9,10,8,7,7,35
25,22,9,7,8,56,8,8,7,9,8,7,33
23,22,9,8,8,61,10,10,9,9,10,9,33
23,26,7,7,7,75,10,7,9,8,7,7,36
29,22,8,7,8,59,7,7,8,9,7,7,37
28,30,7,7,7,60,9,9,7,10,10,7,35
28,21,10,10,10,62,8,8,10,10,9,10,36
21,29,9,8,9,71,10,8,10,10,8,10,36
30,29,8,10,8,70,8,8,8,10,10,10,37
25,23,7,8,7,71,7,10,7,10,9,7,35
24,27,7,7,9,67,7,9,7,9,8,9,37
22,23,7,8,9,58,9,10,8,7,8,7,33
24,21,7,7,8,60,7,10,7,7,9,8,35
24,29,7,10,7,77,9,8,10,9,10,9,34
24,22,9,10,7,57,10,9,7,7,9,9,35
30,21,10,10,8,76,7,7,8,9,10,7,33
29,27,10,8,10,57,10,8,10,7,10,10,35
21,24,10,8,9,58,9,8,8,8,7,9,37
25,23,10,8,10,77,7,8,7,9,7,7,35
28,26,9,7,9,70,7,9,10,10,7,8,33
22,26,9,10,9,79,7,7,9,10,8,9,36
28,25,9,9,10,71,9,10,7,9,7,9,33
25,23,8,7,10,67,8,7,10,10,9,8,36
21,25,9,10,7,78,9,8,9,9,8,10,35
27,28,10,9,10,69,10,8,9,8,8,9,37
28,23,8,7,9,60,9,10,9,8,9,8,37
25,24,9,7,7,65,8,10,8,10,10,8,36
23,28,10,9,8,71,8,8,8,9,10,7,37
29,24,8,7,8,68,8,7,10,7,9,9,34
26,25,9,10,9,56,10,7,7,8,8,7,35
23,26,10,10,10,62,7,9,9,8,8,10,34
24,27,8,9,7,74,7,9,7,9,9,7,37
25,22,9,8,7,70,10,8,10,9,10,7,33
27,21,10,7,7,70,7,9,10,10,8,7,34
21,22,10,8,10,79,8,8,8,9,8,10,37
21,29,9,7,10,75,10,7,9,9,8,7,33
24,26,10,8,10,67,7,10,9,10,10,8,37
28,26,9,8,10,71,7,8,10,7,8,9,34
22,27,10,10,7,74,7,9,9,9,10,8,36
26,30,7,8,10,61,8,8,9,8,8,7,36
23,24,9,10,7,59,8,8,10,7,8,10,33
27,22,8,9,7,71,9,10,8,7,8,9,36
28,29,8,8,9,64,9,8,8,7,10,10,37
21,24,7,9,7,76,8,7,8,9,8,9,33
21,30,7,7,7,62,9,10,8,10,10,10,34
21,22,8,9,9,76,9,8,7,8,10,10,35
21,27,8,9,9,68,7,10,9,9,7,9,34
22,25,8,7,9,63,7,7,7,7,9,8,35
24,26,8,7,9,64,10,9,8,7,7,9,37
28,27,7,9,10,74,7,10,7,7,10,7,36
23,22,9,7,9,71,10,9,8,7,8,8,33
27,28,8,9,9,77,8,7,9,10,10,9,36
22,28,7,7,8,62,9,8,9,10,10,9,36
28,27,10,10,9,63,9,8,9,7,9,9,36
28,29,9,7,8,71,10,10,7,8,7,9,37
28,27,10,9,7,68,9,7,8,7,10,8,35
24,27,7,10,7,63,7,7,7,9,9,9,34
25,25,8,7,10,64,8,7,7,10,8,9,34
28,22,10,10,10,67,10,8,7,10,7,7,35
30,24,9,10,9,69,8,10,8,9,9,8,36
22,22,10,9,9,66,8,9,8,7,10,10,33
21,30,7,7,8,74,8,10,8,9,9,7,34
29,28,9,10,10,67,7,10,8,7,10,8,35
30,24,7,8,10,64,9,10,7,7,8,10,33
29,28,10,8,10,62,10,10,8,8,10,8,37
21,23,8,10,7,58,8,10,9,10,9,9,36
26,26,7,10,10,73,8,10,8,9,9,7,36
24,25,10,10,9,58,7,9,8,7,9,10,34
26,27,9,9,10,75,10,8,7,10,10,10,33
27,25,7,9,9,78,7,8,8,7,7,8,37
28,29,9,7,10,72,7,8,7,8,10,8,35
27,21,9,9,10,79,7,7,8,9,7,10,36
30,28,8,7,10,65,8,10,9,9,9,9,37
21,23,7,7,8,70,7,9,7,7,7,8,34
25,25,10,7,7,61,7,9,10,10,9,10,33
30,29,8,7,7,66,9,10,10,8,8,9,36
22,27,10,9,9,71,7,9,8,10,7,8,37
26,25,9,9,7,76,8,10,10,10,7,7,34
30,26,9,10,10,68,7,8,10,10,10,10,35
29,25,9,9,10,67,9,8,9,7,7,7,37
27,23,8,9,7,66,10,8,8,10,9,8,35
29,24,9,8,9,70,9,9,7,8,9,7,34
27,28,7,10,10,65,8,10,10,10,9,7,35
22,27,7,8,8,71,10,10,10,10,8,8,35
21,28,10,9,8,77,8,9,9,7,7,9,36
30,26,10,9,10,72,9,8,8,9,8,10,36
28,25,10,8,9,62,9,8,7,8,9,7,35
26,23,8,7,7,76,9,9,7,9,10,9,37
21,21,10,10,10,61,9,7,7,8,8,9,34
23,30,7,10,7,75,9,10,7,7,10,10,36
23,29,10,8,7,67,10,7,10,10,9,7,34
25,23,8,9,7,79,9,7,8,7,10,7,37
26,22,10,10,8,76,10,7,10,8,9,8,33
29,24,8,9,8,68,8,9,7,9,8,8,33
29,22,10,8,7,58,8,9,10,10,7,10,37
25,29,7,9,8,57,7,8,9,9,8,10,34
25,26,7,7,9,64,10,9,9,7,7,9,34
27,21,7,8,7,68,8,10,9,9,10,8,36
24,29,10,9,7,72,7,8,7,8,8,8,37
25,29,9,9,8,61,8,9,8,9,8,9,33
26,23,10,8,7,74,8,9,8,8,8,8,34
25,23,10,8,10,72,8,10,7,9,10,8,33
27,21,8,7,9,61,10,10,9,9,10,8,33
24,23,10,10,9,78,8,10,9,10,10,9,36
30,30,9,10,9,70,8,8,8,9,7,10,34
21,30,7,10,10,57,9,7,10,8,7,10,34
27,25,10,7,10,59,9,8,8,9,7,7,36
28,22,10,8,9,61,7,10,10,9,8,7,36
23,30,9,7,8,58,10,10,9,7,8,8,33
24,28,7,7,7,68,7,10,8,10,8,9,35
30,29,9,10,8,68,8,7,9,9,9,9,34
29,28,9,8,9,68,9,9,7,9,9,7,36
21,21,10,9,10,69,9,7,10,8,9,8,33
29,22,10,10,8,63,9,10,10,8,9,9,36
30,29,8,10,10,78,10,8,10,7,7,10,36
24,22,7,7,8,60,8,7,10,10,10,9,34
21,28,10,10,9,67,9,10,10,9,9,7,36
30,24,9,8,7,74,8,7,9,7,9,9,37
29,27,8,8,7,57,9,8,10,9,8,9,37
30,28,7,7,10,65,9,9,10,10,10,9,34
23,27,9,7,8,59,8,7,8,10,9,8,35
21,24,10,9,7,56,8,7,7,9,7,8,36
26,22,9,7,7,71,7,7,7,9,9,8,36
26,25,9,7,9,72,7,7,10,10,9,7,35
21,30,10,9,10,69,7,8,8,10,7,9,37
23,23,10,9,10,68,7,10,10,8,9,9,34
23,22,8,8,10,74,8,9,9,8,10,8,35
27,28,8,7,8,71,10,7,10,10,7,10,34
21,24,9,7,7,67,7,7,9,8,8,7,35
25,21,7,8,7,76,10,7,10,7,8,7,33
30,23,8,7,9,73,10,10,7,7,10,10,34
24,22,9,10,9,74,8,7,9,8,7,7,33
27,22,8,10,10,77,8,10,7,7,7,10,36
29,29,9,7,9,79,8,10,9,10,9,8,35
28,30,10,10,7,58,10,8,7,8,10,8,35
27,27,8,10,8,62,10,7,9,9,7,7,33
28,29,8,7,10,68,10,10,8,7,7,10,36
27,26,7,9,9,67,10,8,8,7,10,7,36
26,27,9,10,9,58,8,10,10,10,8,8,35
26,26,8,7,9,74,9,7,7,9,10,7,36
26,27,8,10,9,61,10,8,8,8,7,9,34
30,30,9,9,9,68,8,7,10,7,8,7,35
27,23,9,9,7,70,7,10,7,10,10,10,37
24,25,8,7,7,66,9,9,7,7,9,10,37
23,25,10,8,8,63,8,9,9,8,10,10,37
28,29,8,9,8,62,7,7,8,7,7,8,35
28,25,10,9,10,77,7,7,8,7,7,7,37
23,28,9,10,7,58,8,9,8,7,8,8,35
25,25,7,10,8,73,7,10,7,8,8,10,33
21,26,8,10,8,68,8,10,7,7,9,10,37
30,26,7,8,9,71,9,9,8,9,9,7,35
29,30,7,8,9,61,9,9,10,10,9,7,33
23,23,9,10,9,61,7,9,8,7,9,8,37
23,24,8,9,10,63,8,7,8,9,9,9,35
27,22,7,7,9,69,9,8,7,7,10,9,37
25,25,10,7,8,58,9,9,8,7,8,8,37
30,27,10,7,8,66,8,9,7,8,8,9,37
24,30,8,7,7,77,10,8,10,8,10,10,33
24,26,10,9,10,69,10,10,7,9,9,8,33
24,30,7,9,7,75,10,10,8,7,9,7,36
29,22,9,7,7,72,9,7,8,10,9,9,33
25,25,7,8,8,60,9,7,7,10,7,9,35
25,26,8,9,9,63,8,7,7,8,10,9,37
23,27,10,10,9,74,9,8,10,9,9,8,36
22,25,9,10,7,74,10,8,8,9,7,7,33
24,25,8,7,9,68,7,8,9,8,8,10,37
25,23,10,8,7,68,7,9,10,9,9,7,33
26,22,10,10,7,76,8,9,8,7,7,7,34
24,28,10,8,9,57,9,8,7,8,10,7,33
28,24,7,7,9,78,10,9,8,10,9,7,34
24,24,9,10,10,61,10,8,8,9,7,10,33
29,26,10,7,7,68,10,7,8,8,7,8,35
28,27,8,10,10,67,10,7,9,9,9,9,34
