id,gender,Cat 1,Cat 2,Fat,Attendance,CGPA
808,Female,7,46,14,7,9.83
809,Male,17,49,10,86,4.21
810,Male,48,35,19,80,3.95
811,Female,34,38,90,90,7.52
812,Female,50,23,68,80,6.02
813,Male,5,27,54,72,3.64
814,Female,35,35,93,28,4.86
815,Male,13,23,5,24,0.23
816,Agender,22,44,16,49,8.09
817,Female,16,6,29,32,1.34
818,Male,16,35,10,28,8.93
819,Male,30,11,23,56,8.73
820,Female,13,18,22,41,3.84
821,Female,12,28,75,60,9.31
822,Male,50,23,66,87,3.43
823,Male,41,21,4,95,1.29
824,Female,3,49,38,11,2.63
825,Female,5,40,32,25,9.67
826,Polygender,45,42,44,75,6.52
827,Male,1,32,35,22,3.06
828,Male,40,13,25,52,1.76
829,Female,25,42,51,5,4.31
830,Female,29,48,78,66,8.95
831,Female,38,21,64,44,8.67
832,Male,13,36,3,60,5.99
833,Genderqueer,47,39,83,76,9.02
834,Male,50,41,0,71,5.6
835,Male,30,49,57,70,2.88
836,Female,0,11,3,56,7.15
837,Female,10,48,56,95,8.53
838,Male,40,0,42,65,9.73
839,Female,13,37,2,100,6.88
840,Female,27,43,51,38,5.92
841,Female,30,9,85,55,1.2
842,Male,40,14,4,48,5.05
843,Male,42,35,82,76,4.15
844,Female,35,50,70,100,5.13
845,Female,3,3,42,72,5.03
846,Female,26,23,32,75,3.77
847,Male,4,37,92,55,6.87
848,Male,15,31,18,27,9.74
849,Male,46,14,23,31,9.08
850,Female,40,34,79,87,1.79
851,Female,12,20,63,28,9.96
852,Female,12,23,43,60,9.58
853,Male,3,44,27,46,0.37
854,Male,4,43,28,78,5.53
855,Female,16,0,68,37,0.23
856,Female,45,28,19,53,1.3
857,Male,22,30,67,45,7.79
858,Male,21,2,35,87,2.73
859,Male,36,34,28,31,3.59
860,Male,30,2,42,32,5.23
861,Male,10,11,63,62,3.48
862,Male,8,33,66,16,1.1
863,Male,41,35,82,7,0.28
864,Male,0,2,16,72,3.53
865,Male,40,30,84,86,7.06
866,Genderfluid,8,22,48,80,6.74
867,Male,38,12,39,43,4.26
868,Polygender,49,19,61,59,4.16
869,Male,50,10,2,5,5.47
870,Female,13,37,80,68,5.91
871,Female,25,4,64,100,8.74
872,Male,13,22,41,99,4.81
873,Bigender,50,47,52,22,5.96
874,Male,42,20,14,51,0.63
875,Male,48,19,69,22,8.4
876,Male,11,24,8,13,4.6
877,Female,1,40,60,8,0.29
878,Female,0,40,18,31,9.7
879,Male,31,32,47,84,8.02
880,Male,47,38,22,86,6.99
881,Female,6,40,50,65,7.27
882,Male,19,3,35,8,6.45
883,Female,1,15,2,78,0.42
884,Female,30,50,51,16,4.25
885,Male,46,45,44,0,5.0
886,Male,39,6,72,29,6.36
887,Male,28,40,8,34,8.97
888,Female,36,0,70,8,7.34
889,Bigender,31,26,58,96,8.5
890,Polygender,46,25,11,39,4.44
891,Agender,50,34,98,24,7.94
892,Male,24,28,66,37,9.75
893,Genderqueer,48,13,82,100,9.99
894,Male,24,17,37,24,5.41
895,Male,2,27,23,29,8.14
896,Female,20,34,1,11,9.49
897,Female,15,46,25,52,0.5
898,Male,43,41,70,0,4.74
899,Male,21,18,82,94,8.3
900,Female,27,30,27,25,6.4
901,Non-binary,7,29,9,17,6.46
902,Female,50,39,33,22,1.95
903,Female,13,46,48,40,7.99
904,Male,2,47,17,12,5.51
905,Female,45,9,68,72,5.13
906,Female,20,35,67,66,1.7
907,Male,10,42,44,49,2.69
908,Female,23,44,79,100,5.44
909,Female,15,50,72,46,2.47
910,Male,33,12,67,57,8.23
911,Female,18,17,75,23,6.54
912,Female,46,4,1,15,1.09
913,Female,29,45,86,47,8.41
914,Female,28,38,98,6,9.96
915,Female,42,42,15,84,6.05
916,Female,17,12,38,19,8.43
917,Male,31,33,64,40,6.53
918,Male,37,33,26,58,1.78
919,Male,49,32,19,53,0.49
920,Female,1,37,27,0,8.98
921,Male,26,39,79,9,1.56
922,Male,36,21,39,33,2.98
923,Male,15,8,3,37,5.61
924,Male,1,2,6,76,5.78
925,Male,15,18,18,83,5.43
926,Male,3,23,10,8,5.3
927,Female,4,3,69,37,2.12
928,Male,0,45,55,84,6.55
929,Male,9,6,67,20,5.69
930,Genderqueer,48,22,8,12,1.91
931,Male,0,34,23,15,1.29
932,Female,5,9,72,49,9.11
933,Male,26,22,89,90,3.41
934,Male,44,21,75,66,1.88
935,Male,49,28,54,61,6.46
936,Male,3,9,99,82,2.77
937,Female,0,10,73,55,5.61
938,Female,15,34,83,54,0.65
939,Female,41,22,98,13,8.42
940,Female,31,41,73,52,0.15
941,Bigender,7,29,43,86,8.04
942,Female,28,10,68,26,0.05
943,Female,17,5,82,41,3.12
944,Male,50,2,36,71,1.98
945,Polygender,27,41,15,8,4.79
946,Genderfluid,35,19,48,14,2.91
947,Female,49,44,43,19,9.39
948,Female,6,16,13,10,8.03
949,Agender,29,0,9,68,8.65
950,Male,26,31,59,10,9.67
951,Male,1,42,86,46,1.68
952,Male,6,45,16,93,5.83
953,Agender,42,26,24,64,2.32
954,Male,8,16,38,32,4.25
955,Male,50,46,90,41,0.95
956,Male,7,36,90,28,4.53
957,Female,24,49,57,77,7.95
958,Female,28,48,82,87,5.02
959,Female,34,36,41,80,9.13
960,Male,4,18,74,19,7.25
961,Male,12,46,84,47,7.4
962,Female,4,22,60,51,3.14
963,Female,10,44,48,25,9.89
964,Male,48,13,18,37,7.9
965,Bigender,30,35,63,98,9.81
966,Female,44,44,5,18,2.47
967,Male,38,37,18,97,7.42
968,Male,27,44,95,80,6.05
969,Female,19,11,6,11,9.94
970,Male,17,41,85,13,9.6
971,Male,27,27,96,5,5.02
972,Female,8,47,67,35,9.81
973,Male,14,19,87,25,8.34
974,Male,40,18,70,5,2.66
975,Male,44,20,17,31,6.01
976,Male,43,10,38,38,0.1
977,Female,13,39,2,22,2.46
978,Female,30,49,20,31,1.2
979,Male,35,18,16,43,4.05
980,Male,46,45,83,15,4.84
981,Female,39,13,27,55,9.77
982,Polygender,37,24,91,21,4.15
983,Female,7,47,19,2,1.5
984,Female,30,35,27,12,7.02
985,Male,11,2,54,33,2.67
986,Bigender,45,8,57,18,9.49
987,Female,35,29,0,51,8.94
988,Female,41,1,44,49,0.91
989,Female,34,15,81,96,4.83
990,Female,50,30,8,98,8.71
991,Male,47,16,6,71,6.05
992,Female,21,3,51,97,5.05
993,Bigender,16,35,98,12,0.58
994,Male,32,22,99,17,6.42
995,Male,14,11,78,30,4.88
996,Female,21,1,95,70,1.14
997,Bigender,7,46,85,94,0.79
998,Male,23,12,69,40,3.83
999,Female,14,46,40,27,5.56
1000,Female,5,48,7,65,7.49
